timestamp,RPM,Vibration_X,Vibration_Y,Vibration_Z,Temperature,Current_A,Pressure_PSI
0.6601,1561.77,-0.0432,-0.9044,-0.0285,51.96,17.366,51.18
0.6701,1562.69,-0.7405,-0.0999,0.0519,52.13,18.57,54.37
0.6801,1563.61,0.1308,0.9085,0.0457,52.3,18.508,52.07
0.6901,1564.54,0.8492,0.5741,-0.0664,52.36,18.343,51.7
0.7001,1565.46,0.0855,-1.2098,-0.0524,52.41,17.846,55.44
0.7101,1566.38,-0.5826,-0.5567,-0.1814,52.35,18.669,53.99
0.7201,1567.29,0.0129,1.0688,0.1624,52.5,18.648,52.32
0.7301,1568.21,1.5146,0.113,0.0545,52.7,18.362,53.73
0.7401,1569.13,-0.8102,-0.8676,0.1523,52.96,17.742,53.08
0.7502,1570.05,-0.7998,-0.4766,-0.0614,53.09,18.129,52.37
0.7602,1570.96,0.0511,0.9296,-0.0835,53.1,18.771,53.97
0.7702,1571.88,0.9579,0.7611,-0.177,53.03,19.027,52.69
0.7802,1572.79,0.0018,-0.837,0.0693,53.23,18.211,53.66
0.7902,1573.71,-1.6451,-0.1323,-0.1716,53.14,18.261,55.05
0.8002,1574.62,-0.0395,0.6736,0.2931,53.2,18.316,54.93
0.8102,1575.53,1.1571,0.5358,-0.2122,53.27,18.545,52.73
0.8202,1576.45,0.4163,-0.9023,0.0573,53.36,18.128,54.48
0.8302,1577.36,-1.2067,-0.7692,0.2186,53.46,16.982,52.49
0.8402,1578.27,-0.2148,1.1639,0.1065,53.56,19.037,54.32
0.8502,1579.18,0.9019,1.083,0.0095,53.41,19.349,53.73
0.8602,1580.09,0.2462,-0.9304,-0.1282,53.51,18.156,54.51
0.8702,1580.99,-0.955,-0.3756,-0.2245,53.38,17.94,53.52
0.8802,1581.9,-0.1298,0.9487,0.133,53.55,18.416,57.06
0.8902,1582.81,1.2088,0.3234,0.2082,53.58,18.401,52.64
0.9002,1583.71,-0.0007,-1.3841,-0.0479,53.46,19.004,55.23
0.9102,1584.62,-0.7654,-0.6783,-0.189,53.47,18.544,52.4
0.9202,1585.52,-0.1801,0.5823,-0.3504,53.51,18.131,54.88
0.9302,1586.43,0.9589,0.9278,-0.1656,53.72,17.879,55.19
0.9402,1587.33,-0.1489,-0.9604,0.0017,53.84,18.982,54.17
0.9502,1588.23,-1.4974,-0.5883,0.2209,53.96,18.86,53.47
0.9602,1589.13,0.1208,1.1553,0.1201,54.17,19.102,54.49
0.9702,1590.03,1.1378,0.2213,0.0264,54.26,18.098,55.04
0.9802,1590.93,-0.0311,-1.1261,-0.0404,54.42,19.512,57.02
0.9902,1591.83,-1.1311,-0.4847,-0.1073,54.58,17.732,53.66
1.0002,1592.72,-0.3913,1.193,0.2309,54.54,18.969,53.78
1.0102,1593.62,0.9357,0.6272,0.0099,54.78,17.671,55.57
1.0202,1594.51,-0.1369,-0.8751,-0.295,54.73,18.241,54.59
1.0302,1595.41,-1.3037,-0.4822,-0.1217,54.91,19.428,54.59
1.0402,1596.3,-0.0136,1.0386,-0.1079,54.84,19.074,56.45
1.0502,1597.19,1.1854,0.5521,-0.103,54.99,18.395,50.92
1.0602,1598.09,0.5304,-1.1974,0.1057,55.27,18.42,54.41
1.0702,1598.98,-1.013,-0.4901,-0.0376,55.33,18.74,52.66
1.0802,1599.87,0.1135,0.6728,0.0102,55.39,18.958,53.47
1.0902,1600.75,1.0442,0.5219,0.1751,55.54,19.337,58.86
1.1002,1601.64,-0.6125,-1.0628,-0.0823,55.59,18.494,56.45
1.1102,1602.53,-1.0757,0.1333,0.2573,55.86,17.927,57.32
1.1202,1603.41,0.0557,0.934,-0.0781,55.97,18.822,55.58
1.1302,1604.3,1.8078,0.1505,-0.0094,56.02,18.526,56.98
1.1402,1605.18,-0.096,-0.9789,-0.0192,56.05,18.115,53.36
1.1502,1606.06,-0.9795,-0.3717,-0.0047,56.04,18.925,57.34
1.1602,1606.94,0.0286,1.365,0.0901,56.06,18.68,54.67
1.1702,1607.82,0.7206,0.3541,0.0415,56.11,18.95,55.07
1.1802,1608.7,0.3031,-1.3436,-0.0891,56.14,18.36,56.85
1.1902,1609.58,-0.8467,-0.2972,-0.1925,56.16,19.062,56.39
1.2002,1610.46,0.2778,0.6042,0.3997,56.46,18.17,56.48
1.2102,1611.33,0.8006,0.3923,-0.0971,56.44,18.426,54.25
1.2202,1612.21,0.3796,-1.0151,0.1296,56.53,18.729,56.43
1.2302,1613.08,-1.4951,-0.5187,-0.2661,56.67,19.732,57.52
1.2402,1613.96,0.218,1.1244,-0.0168,56.82,19.264,55.52
1.2503,1614.83,1.7329,0.3303,-0.0444,56.9,19.42,58.3
1.2603,1615.7,-0.3398,-1.0218,0.0965,56.95,19.601,55.02
1.2703,1616.57,-1.2467,-0.5048,-0.4341,57.08,20.704,56.1
1.2803,1617.43,0.0733,0.9921,0.0509,57.19,18.934,59.0
1.2903,1618.3,0.9269,0.5256,-0.1987,57.24,19.634,55.52
1.3003,1619.17,-0.5093,-0.8471,0.0751,57.16,19.441,58.17
1.3103,1620.03,-1.0585,-0.2901,-0.1821,57.2,19.443,59.59
1.3203,1620.89,-0.2739,1.0556,-0.1015,57.16,19.842,56.78
1.3303,1621.76,1.2223,0.6144,-0.0681,57.18,18.756,56.09
1.3403,1622.62,-0.3214,-1.3543,-0.1306,57.26,18.727,55.8
1.3503,1623.48,-0.6164,-0.4884,-0.0988,57.38,19.146,58.87
1.3603,1624.34,-0.1887,1.08,-0.1513,57.63,18.906,59.06
1.3703,1625.19,0.9858,0.6831,-0.3029,57.66,19.167,59.27
1.3803,1626.05,0.1971,-1.1345,0.1809,57.81,19.799,56.96
1.3903,1626.9,-1.4528,-0.6655,-0.2228,57.92,18.789,58.95
1.4003,1627.76,0.116,0.8192,0.0018,58.13,18.886,57.42
1.4103,1628.61,1.4768,0.6348,0.0841,58.26,19.136,56.19
1.4203,1629.46,-0.5307,-0.7056,-0.0632,58.24,18.945,59.27
1.4303,1630.31,-1.0304,-0.6025,-0.153,58.14,18.112,60.26
1.4403,1631.16,0.1272,1.1924,0.0634,58.25,18.79,56.15
1.4503,1632.01,1.3214,0.5314,0.138,58.28,19.434,55.97
1.4603,1632.85,-0.421,-0.9978,-0.1455,58.25,19.819,57.49
1.4703,1633.7,-1.4841,-0.5533,-0.0527,58.2,18.533,59.25
1.4803,1634.54,0.2072,1.1547,-0.2295,58.3,18.541,56.18
1.4903,1635.38,1.1782,0.5817,-0.0896,58.52,19.146,58.18
1.5003,1636.22,0.0238,-0.4004,0.0359,58.56,18.103,57.31
1.5103,1637.06,-0.9862,-0.7133,-0.1592,58.69,18.929,59.09
1.5203,1637.9,-0.1519,1.1002,-0.0373,58.76,18.294,57.09
1.5303,1638.74,1.1609,0.3678,-0.2427,58.7,19.856,58.97
1.5403,1639.57,0.035,-1.1893,0.0432,58.85,18.797,57.99
1.5503,1640.4,-1.3066,-0.5028,0.1264,58.82,20.019,56.46
1.5603,1641.24,0.6133,1.0076,-0.1324,58.9,19.759,58.1
1.5703,1642.07,1.2355,1.2295,-0.1258,58.94,18.889,55.4
1.5803,1642.9,-0.4117,-1.0206,0.108,59.1,18.686,57.64
1.5903,1643.73,-0.8975,-0.7824,0.149,59.07,19.136,58.86
1.6003,1644.55,-0.2373,1.0441,-0.191,59.18,19.19,55.76
1.6103,1645.38,1.3316,-0.0189,-0.0586,59.17,19.426,54.5
1.6203,1646.2,0.2917,-1.0001,0.0759,59.19,18.874,55.05
1.6303,1647.02,-1.3428,-0.4956,-0.049,58.9,19.646,60.2
1.6403,1647.85,0.3456,1.1771,-0.3376,59.19,19.415,58.33
1.6503,1648.66,1.2215,0.7429,0.041,59.32,19.123,57.82
1.6603,1649.48,0.1893,-1.1056,0.2623,59.31,18.947,60.11
1.6703,1650.3,-0.5296,-0.537,-0.0171,59.28,19.22,58.01
1.6803,1651.11,-0.0155,0.7895,-0.1199,59.3,18.914,59.14
1.6903,1651.93,0.8736,0.2172,-0.112,59.45,19.362,58.74
1.7003,1652.74,-0.3257,-0.9048,0.3007,59.33,19.385,57.95
1.7103,1653.55,-1.3455,-0.8175,0.101,59.39,19.483,59.12
1.7203,1654.36,0.0364,0.8799,0.1317,59.64,20.245,59.76
1.7303,1655.17,1.2042,0.2502,0.0175,59.6,19.306,58.6
1.7403,1655.97,0.0227,-0.8474,-0.063,59.68,19.884,58.08
1.7504,1656.78,-0.8547,-0.0485,-0.0665,59.97,19.507,58.54
1.7604,1657.58,0.065,0.6607,0.0249,60.11,19.282,55.76
1.7704,1658.38,1.5399,0.0355,0.0456,60.19,19.352,59.68
1.7804,1659.18,-0.1412,-1.0186,0.2634,60.31,19.392,57.51
1.7904,1659.98,-0.2889,-0.4947,0.1305,60.34,19.571,60.25
1.8004,1660.78,0.2503,1.0433,-0.1754,60.54,18.961,59.47
1.8104,1661.57,0.8488,0.3869,-0.0041,60.57,18.718,59.87
1.8204,1662.37,-0.3846,-1.04,0.1485,60.45,19.787,60.4
1.8304,1663.16,-0.9622,-0.4064,0.0547,60.48,19.919,57.96
1.8404,1663.95,-0.0029,1.2512,-0.056,60.45,19.852,59.93
1.8504,1664.74,1.3221,0.0094,0.3985,60.49,19.567,59.91
1.8604,1665.52,0.0771,-1.0846,-0.1527,60.53,19.882,59.18
1.8704,1666.31,-1.1308,-0.4445,-0.2016,60.72,19.865,58.18
1.8804,1667.09,-0.1884,0.7641,0.0743,60.86,19.912,60.54
1.8904,1667.87,0.6555,0.9306,0.278,60.96,19.098,61.02
1.9004,1668.65,-0.2003,-1.1537,-0.0857,61.03,18.989,60.22
1.9104,1669.43,-0.854,-0.508,-0.0799,60.99,19.352,58.34
1.9204,1670.21,0.1314,1.1351,0.2018,60.84,19.548,59.04
1.9304,1670.99,0.7382,0.3497,-0.0431,60.92,19.445,59.83
1.9404,1671.76,-0.0159,-1.459,-0.0095,61.07,18.637,61.29
1.9504,1672.53,-0.9973,-0.6045,0.044,61.12,20.446,57.38
1.9604,1673.3,-0.1965,1.2559,0.082,61.14,19.457,59.24
1.9704,1674.07,1.16,0.4129,0.1132,61.25,19.69,59.49
1.9804,1674.84,-0.052,-1.2114,0.2353,61.31,20.235,59.85
1.9904,1675.6,-1.4578,-0.2656,0.0042,61.55,18.45,58.7
2.0004,1676.37,0.1775,0.9183,0.0858,61.74,19.376,60.16
2.0104,1677.13,1.2841,0.3693,-0.0101,61.9,19.448,60.1
2.0204,1677.89,0.254,-0.9649,0.1159,62.04,19.482,59.08
2.0304,1678.65,-0.8007,-0.3039,-0.0344,61.97,19.573,60.42
2.0404,1679.4,-0.3416,1.5989,0.0429,62.1,20.393,59.63
2.0504,1680.16,0.8364,0.7033,0.1363,62.2,20.015,61.36
2.0604,1680.91,0.082,-0.7147,0.2708,62.33,20.167,59.33
2.0704,1681.66,-0.9646,-0.6228,-0.2698,62.44,19.721,61.0
2.0804,1682.41,0.2278,0.7494,0.0454,62.55,19.007,59.94
2.0904,1683.16,2.2755,0.5117,-0.1474,62.88,18.676,60.54
2.1004,1683.9,0.0972,-0.9803,-0.0023,62.93,18.96,61.84
2.1104,1684.65,-0.78,-0.7655,0.0158,63.09,19.914,61.55
2.1204,1685.39,0.361,0.9645,0.1452,63.1,19.759,60.65
2.1304,1686.13,1.317,0.5955,-0.0618,63.24,19.647,60.99
2.1404,1686.87,-0.1701,-0.9194,-0.2418,63.39,19.577,59.33
2.1504,1687.6,-0.8948,-0.3694,-0.1902,63.49,20.776,63.32
2.1604,1688.34,-0.1555,1.0834,0.1802,63.71,19.368,62.8
2.1704,1689.07,1.0524,0.3685,-0.457,63.68,20.252,62.48
2.1804,1689.8,-0.2227,-1.1403,0.2243,63.69,19.799,59.27
2.1904,1690.53,-1.0998,-0.7948,0.0318,63.77,19.776,60.83
2.2004,1691.26,0.7723,1.4593,0.244,63.91,20.404,61.12
2.2104,1691.98,0.5651,0.4982,-0.0766,63.99,20.556,58.74
2.2204,1692.71,0.1272,-1.0704,-0.2621,64.17,19.714,63.33
2.2304,1693.43,-1.61,-0.7268,0.0172,64.16,20.242,64.03
2.2404,1694.15,-0.0621,1.7493,0.2387,64.1,20.033,64.99
2.2505,1694.87,1.4538,0.2261,0.0909,64.19,19.864,60.44
2.2605,1695.58,-0.0609,-1.1238,-0.0514,64.24,19.971,62.19
2.2705,1696.3,-1.4513,-0.3902,-0.0352,64.35,19.534,64.2
2.2805,1697.01,-0.1336,1.1678,-0.0315,64.4,19.734,61.82
2.2905,1697.72,1.3328,0.7335,-0.1716,64.42,19.605,61.42
2.3005,1698.43,-0.3009,-0.567,0.1922,64.47,20.355,59.28
2.3105,1699.13,-1.0648,-0.3672,-0.2288,64.53,19.866,63.97
2.3205,1699.84,0.0962,0.7561,-0.0847,64.55,19.273,62.45
2.3305,1700.54,0.9352,0.4293,-0.2152,64.58,19.569,61.33
2.3405,1701.24,0.5599,-0.9443,-0.1737,64.6,18.34,63.24
2.3505,1701.94,-0.9414,0.0238,-0.0281,64.74,19.701,62.72
2.3605,1702.63,-0.5234,0.6729,0.2245,64.81,19.976,62.71
2.3705,1703.33,1.1883,0.7937,-0.0783,65.09,19.897,62.31
2.3805,1704.02,-0.2834,-0.9785,-0.1751,65.16,20.964,64.8
2.3905,1704.71,-0.8775,-0.2833,0.075,65.16,20.27,62.39
2.4005,1705.4,-0.1521,0.9991,0.3041,65.47,20.256,65.19
2.4105,1706.08,1.0997,0.2819,-0.1484,65.57,19.178,63.99
2.4205,1706.77,0.0651,-0.8381,-0.0201,65.72,19.826,63.57
2.4305,1707.45,-0.8753,-0.3287,0.0254,65.83,19.773,62.96
2.4405,1708.13,-0.2729,1.2699,0.2955,65.94,19.632,64.7
2.4505,1708.81,1.0355,0.4887,-0.1304,66.04,19.634,63.47
2.4605,1709.48,-0.2305,-1.178,-0.1472,65.98,19.138,62.04
2.4705,1710.16,-1.3327,-0.8815,0.0418,66.06,19.413,61.96
2.4805,1710.83,0.6184,1.234,0.173,65.98,20.496,63.69
2.4905,1711.5,1.259,0.5975,-0.0524,66.01,19.996,61.88
2.5005,1712.17,-0.4678,-1.2717,-0.0301,65.99,19.823,63.2
2.5105,1712.83,-0.863,-0.6259,0.0953,66.07,20.081,64.85
2.5205,1713.49,0.727,0.9147,0.1333,66.15,20.676,63.6
2.5305,1714.16,1.4489,0.1202,-0.1695,66.25,20.103,62.29
2.5405,1714.81,-0.547,-1.2369,0.0619,66.33,20.379,65.46
2.5505,1715.47,-1.2852,-0.7742,-0.2575,66.31,19.694,64.38
2.5605,1716.13,0.472,0.9304,0.1579,66.34,19.816,65.07
2.5705,1716.78,0.9285,0.3058,-0.0945,66.48,20.311,60.08
2.5805,1717.43,0.0404,-1.4414,-0.0099,66.63,21.088,63.83
2.5905,1718.08,-0.9092,0.0155,-0.0606,66.56,20.865,64.64
2.6005,1718.72,-0.1846,1.3489,0.062,66.46,20.449,66.01
2.6105,1719.37,1.1245,0.2951,0.0781,66.43,20.242,61.33
2.6205,1720.01,-1.0667,-0.9687,0.145,66.58,20.875,65.23
2.6305,1720.65,-1.4505,-0.3852,-0.0801,66.75,20.58,66.08
2.6405,1721.29,0.0193,1.3357,0.1714,66.71,19.043,61.03
2.6505,1721.92,0.7696,0.2846,0.003,66.78,19.671,64.64
2.6605,1722.56,0.3939,-0.766,-0.0067,67.01,20.375,64.76
2.6705,1723.19,-1.5738,-0.626,-0.0763,67.1,19.321,63.72
2.6805,1723.82,-0.0354,0.7061,0.0356,67.29,19.773,63.44
2.6905,1724.44,1.1847,0.6697,0.0178,67.43,19.88,65.23
2.7005,1725.07,0.3349,-0.7184,0.0032,67.38,20.11,63.22
2.7105,1725.69,-1.577,0.1586,-0.1171,67.41,20.102,63.84
2.7205,1726.31,0.4472,0.7422,0.354,67.46,20.109,65.42
2.7305,1726.93,1.1501,0.6628,0.082,67.51,20.674,66.7
2.7405,1727.54,-0.3935,-1.1457,-0.0549,67.65,20.137,65.12
2.7506,1728.16,-1.0092,-0.292,0.0262,67.73,20.085,64.58
2.7606,1728.77,0.1595,0.6766,0.0774,67.48,19.61,63.63
2.7706,1729.38,0.9685,0.1718,-0.0012,67.39,20.805,62.5
2.7806,1729.98,-0.0797,-1.2393,0.0807,67.22,19.965,65.85
2.7906,1730.59,-1.2649,-0.4674,0.1181,67.28,19.764,64.06
2.8006,1731.19,0.1355,0.8861,0.1125,67.35,20.422,65.86
2.8106,1731.79,1.3487,0.6516,-0.0702,67.42,19.94,63.83
2.8206,1732.38,0.3736,-0.7906,0.2174,67.37,20.068,63.3
2.8306,1732.98,-1.5221,-0.3366,-0.0263,67.49,20.468,64.85
2.8406,1733.57,0.7429,1.4531,0.0798,67.6,20.183,64.26
2.8506,1734.16,0.5658,0.5902,-0.0147,67.52,21.509,62.13
2.8606,1734.75,-0.1493,-1.3536,0.048,67.42,20.324,66.98
2.8706,1735.34,-0.9757,-0.145,-0.0609,67.46,20.677,63.24
2.8806,1735.92,0.1889,0.8991,-0.0255,67.69,19.405,66.08
2.8906,1736.5,0.9661,0.7131,-0.1754,67.9,19.953,65.9
2.9006,1737.08,-0.1678,-0.658,-0.0868,68.0,19.847,62.84
2.9106,1737.66,-1.3015,-0.371,-0.272,67.97,19.921,63.19
2.9206,1738.23,-0.0706,0.6784,-0.0685,68.1,20.613,64.11
2.9306,1738.8,1.4092,0.2553,-0.0898,68.1,20.931,63.18
2.9406,1739.37,0.0001,-0.7227,0.0794,68.07,20.592,67.16
2.9506,1739.94,-1.3629,-0.5268,-0.1048,67.89,20.314,64.27
2.9606,1740.5,0.3776,1.0743,-0.289,67.95,20.119,66.0
2.9706,1741.07,1.2478,0.6739,0.1716,67.93,20.999,65.17
2.9806,1741.63,0.1353,-0.8813,0.2278,67.98,21.485,64.68
2.9906,1742.18,-0.9674,-0.4141,0.0018,67.8,20.524,64.55
3.0006,1742.74,-0.1393,1.0042,0.3514,67.86,20.933,66.26
3.0106,1743.29,0.9889,0.4053,-0.2122,67.66,20.642,63.16
3.0206,1743.84,0.114,-0.8429,0.3489,67.81,20.855,67.01
3.0306,1744.39,-0.9745,-0.3447,-0.2108,67.91,19.902,62.83
3.0406,1744.93,0.1047,0.994,0.1021,67.93,20.248,65.85
3.0506,1745.48,1.1935,0.7533,-0.2576,68.03,20.696,62.49
3.0606,1746.02,0.2715,-1.0915,0.0689,67.97,21.112,63.98
3.0706,1746.56,-1.3364,-0.6953,-0.0091,68.02,20.104,64.92
3.0806,1747.09,0.2767,0.8705,0.044,68.15,19.503,64.3
3.0906,1747.63,1.0989,0.2373,0.0396,67.88,20.277,64.4
3.1006,1748.16,-0.1786,-1.1293,0.0825,67.88,21.038,62.37
3.1106,1748.69,-0.8306,-0.1732,-0.1463,67.92,19.748,63.38
3.1206,1749.21,0.3618,0.8609,-0.0169,67.95,19.959,65.57
3.1306,1749.74,1.4049,0.5283,0.0532,68.14,20.632,64.76
3.1406,1750.26,0.2767,-1.2272,-0.0294,68.07,20.503,63.69
3.1506,1750.77,-1.1552,-0.5459,0.0684,68.05,20.865,66.6
3.1606,1751.29,0.3203,0.6865,0.2525,67.91,19.96,62.99
3.1706,1751.8,1.069,0.4253,-0.3196,68.1,20.418,64.24
3.1806,1752.32,-0.0193,-1.1133,0.2395,68.12,21.185,63.81
3.1906,1752.82,-1.2017,-0.345,0.2393,68.12,19.998,65.86
3.2006,1753.33,0.1464,1.1217,0.1078,68.16,21.339,64.63
3.2106,1753.83,1.3418,0.1801,0.0196,68.27,20.074,64.83
3.2206,1754.34,-0.3636,-0.7957,0.2261,68.35,21.039,61.98
3.2306,1754.83,-0.5362,-0.4267,-0.1121,68.66,20.434,66.39
3.2406,1755.33,-0.1829,1.1173,0.0983,68.75,20.054,64.92
3.2507,1755.82,0.8002,0.4766,-0.2684,68.74,20.385,65.33
3.2607,1756.32,0.2277,-1.198,0.0923,68.73,20.912,63.87
3.2707,1756.8,-0.9275,-0.424,0.003,68.73,20.643,63.72
3.2807,1757.29,0.3078,1.1883,0.1494,68.62,21.212,67.11
3.2907,1757.77,1.3541,0.0413,0.0876,68.67,21.377,62.17
3.3007,1758.25,-0.125,-1.205,-0.0438,68.79,20.074,63.71
3.3107,1758.73,-1.4353,-0.5414,-0.1525,68.77,20.044,67.51
3.3207,1759.21,0.1449,1.1353,0.3572,68.73,20.026,66.24
3.3307,1759.68,0.9636,0.7756,-0.0957,68.92,20.235,64.83
3.3407,1760.15,0.1696,-1.265,0.1034,68.82,21.243,66.84
3.3507,1760.62,-1.2114,-0.6013,-0.0836,68.66,20.977,65.64
3.3607,1761.09,-0.1239,0.9448,-0.0494,68.59,20.43,65.45
3.3707,1761.55,1.0714,0.276,0.1695,68.48,20.703,65.3
3.3807,1762.01,-0.0006,-1.1606,-0.0049,68.56,21.417,65.49
3.3907,1762.47,-1.3374,-0.2833,-0.2436,68.57,21.675,65.48
3.4007,1762.92,-0.1213,0.8112,0.0072,68.59,20.857,68.28
3.4107,1763.38,1.2419,0.5825,-0.3753,68.75,19.404,65.21
3.4207,1763.83,-0.0526,-1.501,-0.0225,68.72,20.888,64.8
3.4307,1764.27,-1.3214,-0.6154,-0.2207,68.84,21.213,63.16
3.4407,1764.72,-0.0144,0.994,0.1683,69.04,20.864,65.14
3.4507,1765.16,1.2395,0.8934,-0.177,69.03,21.12,67.93
3.4607,1765.6,-0.5621,-1.1459,0.2093,69.15,20.942,66.73
3.4707,1766.04,-1.5926,-1.0245,0.1334,69.17,20.152,64.68
3.4807,1766.47,-0.087,0.5783,0.1938,69.3,20.332,65.56
3.4907,1766.9,1.1068,0.4823,-0.1092,69.18,20.62,63.42
3.5007,1767.33,-0.036,-0.9254,0.0983,69.06,21.319,63.64
3.5107,1767.76,-0.7287,-0.3795,-0.3061,69.06,20.409,65.6
3.5207,1768.18,0.3874,1.1216,0.0575,69.02,21.026,64.42
3.5307,1768.6,1.1238,0.7634,-0.2069,69.01,20.955,63.62
3.5407,1769.02,-0.1366,-1.2154,0.1822,69.03,21.602,65.74
3.5507,1769.44,-1.4731,-0.2487,0.3076,69.14,20.794,65.18
3.5607,1769.85,0.1262,0.6733,0.1535,69.14,19.943,63.21
3.5707,1770.26,1.0862,0.2457,-0.3774,69.1,21.149,62.06
3.5807,1770.67,-0.0357,-1.5339,0.0248,69.11,21.901,64.1
3.5907,1771.07,-1.4214,-0.5402,-0.0609,69.08,21.193,62.77
3.6007,1771.48,0.2891,1.0713,0.0926,69.03,20.449,62.54
3.6107,1771.88,1.6335,0.4996,-0.1893,68.91,20.307,67.02
3.6207,1772.27,-0.1667,-1.0682,0.1167,68.96,20.377,65.19
3.6307,1772.67,-1.0536,-0.7025,-0.2666,68.94,21.861,64.49
